name,email,password,role
Alex,alex@example.com,,0
Bella,bella@example.com,,1
Charlie,charlie@example.com,,0
Dylan,dylan@example.com,,1
Emma,emma@example.com,,1
Finn,finn@example.com,,1
Grace,grace@example.com,,1
Henry,henry@example.com,,1
Ivy,ivy@example.com,,0
Jack,jack@example.com,,0
Katie,katie@example.com,,0
Liam,liam@example.com,,0
Mia,mia@example.com,,0
Noah,noah@example.com,,0
Olivia,olivia@example.com,,0
Paul,paul@example.com,,1
Quinn,quinn@example.com,,0
Ryan,ryan@example.com,,0
Sophia,sophia@example.com,,1
Tom,tom@example.com,,0
Uma,uma@example.com,,0
Victor,victor@example.com,,1
Will,will@example.com,,0
Xena,xena@example.com,,1
Yara,yara@example.com,,0
Zane,zane@example.com,,0
Aaron,aaron@example.com,,0
Beth,beth@example.com,,1
Chris,chris@example.com,,1
Dana,dana@example.com,,1
